,name,num_actions,step
876,no_players,166,876
877,no_players,105,877
878,no_players,38,878
879,no_players,120,879
880,no_players,79,880
881,no_players,72,881
882,no_players,44,882
883,no_players,124,883
884,no_players,96,884
885,no_players,41,885
886,no_players,45,886
887,no_players,43,887
888,no_players,136,888
889,no_players,218,889
890,no_players,40,890
891,no_players,45,891
892,no_players,57,892
893,no_players,82,893
894,no_players,28,894
895,no_players,64,895
896,no_players,36,896
897,no_players,30,897
898,no_players,65,898
899,no_players,71,899
900,no_players,12,900
901,no_players,38,901
902,no_players,121,902
903,no_players,52,903
904,no_players,43,904
905,no_players,86,905
906,no_players,40,906
907,no_players,48,907
908,no_players,41,908
909,no_players,121,909
910,no_players,121,910
911,no_players,202,911
912,no_players,112,912
913,no_players,63,913
914,no_players,33,914
915,no_players,45,915
916,no_players,168,916
917,no_players,145,917
918,no_players,77,918
919,no_players,75,919
920,no_players,84,920
921,no_players,86,921
922,no_players,33,922
923,no_players,145,923
924,no_players,172,924
925,no_players,35,925
926,no_players,99,926
927,no_players,61,927
928,no_players,44,928
929,no_players,108,929
930,no_players,58,930
931,no_players,36,931
932,no_players,61,932
933,no_players,55,933
934,no_players,26,934
935,no_players,112,935
936,no_players,80,936
937,no_players,79,937
938,no_players,12,938
939,no_players,75,939
940,no_players,75,940
941,no_players,202,941
942,no_players,58,942
943,no_players,77,943
944,no_players,83,944
945,no_players,94,945
946,no_players,76,946
947,no_players,87,947
948,no_players,95,948
949,no_players,22,949
950,no_players,22,950
951,no_players,57,951
952,no_players,131,952
953,no_players,57,953
954,no_players,46,954
955,no_players,72,955
956,no_players,91,956
957,no_players,111,957
958,no_players,45,958
959,no_players,80,959
960,no_players,47,960
961,no_players,64,961
962,no_players,143,962
963,no_players,38,963
964,no_players,41,964
965,no_players,57,965
966,no_players,83,966
967,no_players,166,967
968,no_players,58,968
969,no_players,25,969
970,no_players,13,970
971,no_players,121,971
972,no_players,21,972
973,no_players,53,973
974,no_players,183,974
975,no_players,30,975
976,no_players,55,976
977,no_players,18,977
978,no_players,50,978
979,no_players,28,979
980,no_players,148,980
981,no_players,52,981
982,no_players,26,982
983,no_players,32,983
984,no_players,70,984
985,no_players,23,985
986,no_players,70,986
987,no_players,72,987
988,no_players,44,988
989,no_players,46,989
990,no_players,26,990
991,no_players,50,991
992,no_players,125,992
993,no_players,41,993
994,no_players,35,994
995,no_players,67,995
996,no_players,61,996
997,no_players,91,997
998,no_players,54,998
999,no_players,106,999
